Index Nabijacky;Index Udalosti;Cas Zaciatku;Cas Konca;CasTrvania;Miesto;Rychlost nabijania
0;73;1265;1280;15;25;2.0
0;74;1280;1320;40;25;2.0
0;75;1320;1343;23;25;2.0
0;76;1343;1385;42;25;2.0
0;77;1385;1393;8;25;2.0
0;78;1393;1408;15;25;2.0
0;79;1408;1423;15;25;2.0
0;80;1423;1438;15;25;2.0
0;81;1438;1453;15;25;2.0
0;82;1453;1468;15;25;2.0
0;83;1468;1483;15;25;2.0
0;84;1483;1498;15;25;2.0
0;85;1498;1513;15;25;2.0
0;86;1513;1528;15;25;2.0
0;87;1528;1543;15;25;2.0
0;88;1543;1558;15;25;2.0
0;89;1558;1573;15;25;2.0
0;90;1573;1588;15;25;2.0
0;91;1588;1603;15;25;2.0
0;92;1603;1618;15;25;2.0
0;93;1618;1633;15;25;2.0
0;94;1633;1648;15;25;2.0
0;95;1648;1663;15;25;2.0
0;96;1663;1680;17;25;2.0
1;0;242;330;88;42;2.0
1;1;330;336;6;42;2.0
1;2;336;351;15;42;2.0
1;3;351;356;5;42;2.0
1;4;356;358;2;42;2.0
1;5;358;368;10;42;2.0
1;6;368;369;1;42;2.0
1;7;369;382;13;42;2.0
1;8;382;388;6;42;2.0
1;9;388;391;3;42;2.0
1;10;391;406;15;42;2.0
1;11;406;418;12;42;2.0
1;12;418;423;5;42;2.0
1;13;423;426;3;42;2.0
1;14;426;428;2;42;2.0
1;15;428;448;20;42;2.0
1;16;448;451;3;42;2.0
1;17;451;452;1;42;2.0
1;18;452;460;8;42;2.0
1;19;460;466;6;42;2.0
1;20;466;481;15;42;2.0
1;21;481;483;2;42;2.0
1;22;483;496;13;42;2.0
1;23;496;499;3;42;2.0
1;24;499;512;13;42;2.0
1;25;512;548;36;42;2.0
1;26;548;590;42;42;2.0
1;27;590;591;1;42;2.0
1;28;591;617;26;42;2.0
1;29;617;627;10;42;2.0
1;30;627;628;1;42;2.0
1;31;628;660;32;42;2.0
1;32;660;679;19;42;2.0
1;33;679;711;32;42;2.0
1;34;711;725;14;42;2.0
1;35;725;737;12;42;2.0
1;36;737;747;10;42;2.0
1;37;747;761;14;42;2.0
1;38;761;795;34;42;2.0
1;39;795;816;21;42;2.0
1;40;816;830;14;42;2.0
1;41;830;831;1;42;2.0
1;42;831;837;6;42;2.0
1;43;837;850;13;42;2.0
1;44;850;865;15;42;2.0
1;45;865;878;13;42;2.0
1;46;878;880;2;42;2.0
1;47;880;881;1;42;2.0
1;48;881;886;5;42;2.0
1;49;886;897;11;42;2.0
1;50;897;910;13;42;2.0
1;51;910;911;1;42;2.0
1;52;911;922;11;42;2.0
1;53;922;927;5;42;2.0
1;54;927;941;14;42;2.0
1;55;941;945;4;42;2.0
1;56;945;957;12;42;2.0
1;57;957;970;13;42;2.0
1;58;970;971;1;42;2.0
1;59;971;978;7;42;2.0
1;60;978;1001;23;42;2.0
1;61;1001;1017;16;42;2.0
1;62;1017;1030;13;42;2.0
1;63;1030;1031;1;42;2.0
1;64;1031;1061;30;42;2.0
1;65;1061;1065;4;42;2.0
1;66;1065;1087;22;42;2.0
1;67;1087;1091;4;42;2.0
1;68;1091;1098;7;42;2.0
1;69;1098;1121;23;42;2.0
1;70;1121;1145;24;42;2.0
1;71;1145;1174;29;42;2.0
1;72;1174;1217;43;42;2.0
1;73;1217;1221;4;42;2.0
1;74;1221;1265;44;42;2.0
1;75;1265;1279;14;42;2.0
1;76;1279;1321;42;42;2.0
1;77;1321;1342;21;42;2.0
1;78;1342;1385;43;42;2.0
1;79;1385;1392;7;42;2.0
1;80;1392;1407;15;42;2.0
1;81;1407;1422;15;42;2.0
1;82;1422;1437;15;42;2.0
1;83;1437;1452;15;42;2.0
1;84;1452;1467;15;42;2.0
1;85;1467;1482;15;42;2.0
1;86;1482;1497;15;42;2.0
1;87;1497;1512;15;42;2.0
1;88;1512;1527;15;42;2.0
1;89;1527;1542;15;42;2.0
1;90;1542;1557;15;42;2.0
1;91;1557;1572;15;42;2.0
1;92;1572;1587;15;42;2.0
1;93;1587;1602;15;42;2.0
1;94;1602;1617;15;42;2.0
1;95;1617;1632;15;42;2.0
1;96;1632;1647;15;42;2.0
1;97;1647;1662;15;42;2.0
1;98;1662;1677;15;42;2.0
1;99;1677;1680;3;42;2.0
2;0;246;333;87;49;2.0
2;1;333;336;3;49;2.0
2;2;336;351;15;49;2.0
2;3;351;356;5;49;2.0
2;4;356;361;5;49;2.0
2;5;361;369;8;49;2.0
2;6;369;371;2;49;2.0
2;7;371;387;16;49;2.0
2;8;387;391;4;49;2.0
2;9;391;406;15;49;2.0
2;10;406;421;15;49;2.0
2;11;421;423;2;49;2.0
2;12;423;426;3;49;2.0
2;13;426;431;5;49;2.0
2;14;431;451;20;49;2.0
2;15;451;455;4;49;2.0
2;16;455;463;8;49;2.0
2;17;463;466;3;49;2.0
2;18;466;481;15;49;2.0
2;19;481;486;5;49;2.0
2;20;486;496;10;49;2.0
2;21;496;504;8;49;2.0
2;22;504;517;13;49;2.0
2;23;517;551;34;49;2.0
2;24;551;590;39;49;2.0
2;25;590;591;1;49;2.0
2;26;591;620;29;49;2.0
2;27;620;631;11;49;2.0
2;28;631;632;1;49;2.0
2;29;632;660;28;49;2.0
2;30;660;684;24;49;2.0
2;31;684;711;27;49;2.0
2;32;711;725;14;49;2.0
2;33;725;740;15;49;2.0
2;34;740;752;12;49;2.0
2;35;752;764;12;49;2.0
2;36;764;795;31;49;2.0
2;37;795;816;21;49;2.0
2;38;816;834;18;49;2.0
2;39;834;835;1;49;2.0
2;40;835;837;2;49;2.0
2;41;837;850;13;49;2.0
2;42;850;865;15;49;2.0
2;43;865;880;15;49;2.0
2;44;880;881;1;49;2.0
2;45;881;889;8;49;2.0
2;46;889;902;13;49;2.0
2;47;902;910;8;49;2.0
2;48;910;914;4;49;2.0
2;49;914;925;11;49;2.0
2;50;925;932;7;49;2.0
2;51;932;941;9;49;2.0
2;52;941;944;3;49;2.0
2;53;944;945;1;49;2.0
2;54;945;962;17;49;2.0
2;55;962;970;8;49;2.0
2;56;970;974;4;49;2.0
2;57;974;983;9;49;2.0
2;58;983;1001;18;49;2.0
2;59;1001;1004;3;49;2.0
2;60;1004;1022;18;49;2.0
2;61;1022;1030;8;49;2.0
2;62;1030;1034;4;49;2.0
2;63;1034;1061;27;49;2.0
2;64;1061;1064;3;49;2.0
2;65;1064;1065;1;49;2.0
2;66;1065;1090;25;49;2.0
2;67;1090;1096;6;49;2.0
2;68;1096;1103;7;49;2.0
2;69;1103;1124;21;49;2.0
2;70;1124;1145;21;49;2.0
2;71;1145;1179;34;49;2.0
2;72;1179;1220;41;49;2.0
2;73;1220;1226;6;49;2.0
2;74;1226;1265;39;49;2.0
2;75;1265;1284;19;49;2.0
2;76;1284;1321;37;49;2.0
2;77;1321;1347;26;49;2.0
2;78;1347;1385;38;49;2.0
2;79;1385;1397;12;49;2.0
2;80;1397;1412;15;49;2.0
2;81;1412;1427;15;49;2.0
2;82;1427;1442;15;49;2.0
2;83;1442;1457;15;49;2.0
2;84;1457;1472;15;49;2.0
2;85;1472;1487;15;49;2.0
2;86;1487;1502;15;49;2.0
2;87;1502;1517;15;49;2.0
2;88;1517;1532;15;49;2.0
2;89;1532;1547;15;49;2.0
2;90;1547;1562;15;49;2.0
2;91;1562;1577;15;49;2.0
2;92;1577;1592;15;49;2.0
2;93;1592;1607;15;49;2.0
2;94;1607;1622;15;49;2.0
2;95;1622;1637;15;49;2.0
2;96;1637;1652;15;49;2.0
2;97;1652;1667;15;49;2.0
2;98;1667;1680;13;49;2.0
3;0;244;334;90;77;2.0
3;1;334;349;15;77;2.0
3;2;349;354;5;77;2.0
3;3;354;356;2;77;2.0
3;4;356;366;10;77;2.0
3;5;366;372;6;77;2.0
3;6;372;386;14;77;2.0
3;7;386;389;3;77;2.0
3;8;389;404;15;77;2.0
3;9;404;416;12;77;2.0
3;10;416;421;5;77;2.0
3;11;421;426;5;77;2.0
3;12;426;429;3;77;2.0
3;13;429;446;17;77;2.0
3;14;446;449;3;77;2.0
3;15;449;456;7;77;2.0
3;16;456;458;2;77;2.0
3;17;458;464;6;77;2.0
3;18;464;479;15;77;2.0
3;19;479;481;2;77;2.0
3;20;481;499;18;77;2.0
3;21;499;503;4;77;2.0
3;22;503;516;13;77;2.0
3;23;516;546;30;77;2.0
3;24;546;588;42;77;2.0
3;25;588;594;6;77;2.0
3;26;594;621;27;77;2.0
3;27;621;626;5;77;2.0
3;28;626;631;5;77;2.0
3;29;631;658;27;77;2.0
3;30;658;683;25;77;2.0
3;31;683;714;31;77;2.0
3;32;714;723;9;77;2.0
3;33;723;741;18;77;2.0
3;34;741;751;10;77;2.0
3;35;751;759;8;77;2.0
3;36;759;793;34;77;2.0
3;37;793;819;26;77;2.0
3;38;819;829;10;77;2.0
3;39;829;834;5;77;2.0
3;40;834;835;1;77;2.0
3;41;835;848;13;77;2.0
3;42;848;863;15;77;2.0
3;43;863;876;13;77;2.0
3;44;876;878;2;77;2.0
3;45;878;884;6;77;2.0
3;46;884;901;17;77;2.0
3;47;901;908;7;77;2.0
3;48;908;909;1;77;2.0
3;49;909;926;17;77;2.0
3;50;926;931;5;77;2.0
3;51;931;939;8;77;2.0
3;52;939;943;4;77;2.0
3;53;943;944;1;77;2.0
3;54;944;961;17;77;2.0
3;55;961;968;7;77;2.0
3;56;968;969;1;77;2.0
3;57;969;982;13;77;2.0
3;58;982;999;17;77;2.0
3;59;999;1004;5;77;2.0
3;60;1004;1021;17;77;2.0
3;61;1021;1028;7;77;2.0
3;62;1028;1029;1;77;2.0
3;63;1029;1059;30;77;2.0
3;64;1059;1063;4;77;2.0
3;65;1063;1064;1;77;2.0
3;66;1064;1091;27;77;2.0
3;67;1091;1095;4;77;2.0
3;68;1095;1102;7;77;2.0
3;69;1102;1119;17;77;2.0
3;70;1119;1148;29;77;2.0
3;71;1148;1178;30;77;2.0
3;72;1178;1221;43;77;2.0
3;73;1221;1225;4;77;2.0
3;74;1225;1268;43;77;2.0
3;75;1268;1283;15;77;2.0
3;76;1283;1319;36;77;2.0
3;77;1319;1346;27;77;2.0
3;78;1346;1388;42;77;2.0
3;79;1388;1396;8;77;2.0
3;80;1396;1411;15;77;2.0
3;81;1411;1426;15;77;2.0
3;82;1426;1441;15;77;2.0
3;83;1441;1456;15;77;2.0
3;84;1456;1471;15;77;2.0
3;85;1471;1486;15;77;2.0
3;86;1486;1501;15;77;2.0
3;87;1501;1516;15;77;2.0
3;88;1516;1531;15;77;2.0
3;89;1531;1546;15;77;2.0
3;90;1546;1561;15;77;2.0
3;91;1561;1576;15;77;2.0
3;92;1576;1591;15;77;2.0
3;93;1591;1606;15;77;2.0
3;94;1606;1621;15;77;2.0
3;95;1621;1636;15;77;2.0
3;96;1636;1651;15;77;2.0
3;97;1651;1666;15;77;2.0
3;98;1666;1680;14;77;2.0
4;0;243;332;89;93;2.0
4;1;332;336;4;93;2.0
4;2;336;351;15;93;2.0
4;3;351;355;4;93;2.0
4;4;355;356;1;93;2.0
4;5;356;365;9;93;2.0
4;6;365;372;7;93;2.0
4;7;372;385;13;93;2.0
4;8;385;386;1;93;2.0
4;9;386;391;5;93;2.0
4;10;391;406;15;93;2.0
4;11;406;415;9;93;2.0
4;12;415;423;8;93;2.0
4;13;423;425;2;93;2.0
4;14;425;429;4;93;2.0
4;15;429;445;16;93;2.0
4;16;445;451;6;93;2.0
4;17;451;454;3;93;2.0
4;18;454;457;3;93;2.0
4;19;457;466;9;93;2.0
4;20;466;480;14;93;2.0
4;21;480;481;1;93;2.0
4;22;481;499;18;93;2.0
4;23;499;503;4;93;2.0
4;24;503;516;13;93;2.0
4;25;516;545;29;93;2.0
4;26;545;590;45;93;2.0
4;27;590;594;4;93;2.0
4;28;594;619;25;93;2.0
4;29;619;625;6;93;2.0
4;30;625;631;6;93;2.0
4;31;631;660;29;93;2.0
4;32;660;683;23;93;2.0
4;33;683;714;31;93;2.0
4;34;714;725;11;93;2.0
4;35;725;739;14;93;2.0
4;36;739;751;12;93;2.0
4;37;751;758;7;93;2.0
4;38;758;795;37;93;2.0
4;39;795;819;24;93;2.0
4;40;819;828;9;93;2.0
4;41;828;834;6;93;2.0
4;42;834;837;3;93;2.0
4;43;837;850;13;93;2.0
4;44;850;865;15;93;2.0
4;45;865;875;10;93;2.0
4;46;875;880;5;93;2.0
4;47;880;883;3;93;2.0
4;48;883;884;1;93;2.0
4;49;884;901;17;93;2.0
4;50;901;908;7;93;2.0
4;51;908;910;2;93;2.0
4;52;910;924;14;93;2.0
4;53;924;931;7;93;2.0
4;54;931;938;7;93;2.0
4;55;938;944;6;93;2.0
4;56;944;945;1;93;2.0
4;57;945;961;16;93;2.0
4;58;961;968;7;93;2.0
4;59;968;970;2;93;2.0
4;60;970;982;12;93;2.0
4;61;982;998;16;93;2.0
4;62;998;1004;6;93;2.0
4;63;1004;1021;17;93;2.0
4;64;1021;1028;7;93;2.0
4;65;1028;1030;2;93;2.0
4;66;1030;1058;28;93;2.0
4;67;1058;1064;6;93;2.0
4;68;1064;1065;1;93;2.0
4;69;1065;1089;24;93;2.0
4;70;1089;1095;6;93;2.0
4;71;1095;1102;7;93;2.0
4;72;1102;1118;16;93;2.0
4;73;1118;1148;30;93;2.0
4;74;1148;1178;30;93;2.0
4;75;1178;1219;41;93;2.0
4;76;1219;1225;6;93;2.0
4;77;1225;1268;43;93;2.0
4;78;1268;1283;15;93;2.0
4;79;1283;1321;38;93;2.0
4;80;1321;1346;25;93;2.0
4;81;1346;1388;42;93;2.0
4;82;1388;1396;8;93;2.0
4;83;1396;1411;15;93;2.0
4;84;1411;1426;15;93;2.0
4;85;1426;1441;15;93;2.0
4;86;1441;1456;15;93;2.0
4;87;1456;1471;15;93;2.0
4;88;1471;1486;15;93;2.0
4;89;1486;1501;15;93;2.0
4;90;1501;1516;15;93;2.0
4;91;1516;1531;15;93;2.0
4;92;1531;1546;15;93;2.0
4;93;1546;1561;15;93;2.0
4;94;1561;1576;15;93;2.0
4;95;1576;1591;15;93;2.0
4;96;1591;1606;15;93;2.0
4;97;1606;1621;15;93;2.0
4;98;1621;1636;15;93;2.0
4;99;1636;1651;15;93;2.0
4;100;1651;1666;15;93;2.0
4;101;1666;1680;14;93;2.0
5;0;245;331;86;112;2.0
5;1;331;334;3;112;2.0
5;2;334;349;15;112;2.0
5;3;349;354;5;112;2.0
5;4;354;360;6;112;2.0
5;5;360;367;7;112;2.0
5;6;367;370;3;112;2.0
5;7;370;386;16;112;2.0
5;8;386;389;3;112;2.0
5;9;389;390;1;112;2.0
5;10;390;404;14;112;2.0
5;11;404;420;16;112;2.0
5;12;420;421;1;112;2.0
5;13;421;424;3;112;2.0
5;14;424;430;6;112;2.0
5;15;430;449;19;112;2.0
5;16;449;450;1;112;2.0
5;17;450;453;3;112;2.0
5;18;453;462;9;112;2.0
5;19;462;464;2;112;2.0
5;20;464;479;15;112;2.0
5;21;479;485;6;112;2.0
5;22;485;494;9;112;2.0
5;23;494;503;9;112;2.0
5;24;503;516;13;112;2.0
5;25;516;550;34;112;2.0
5;26;550;588;38;112;2.0
5;27;588;589;1;112;2.0
5;28;589;618;29;112;2.0
5;29;618;630;12;112;2.0
5;30;630;631;1;112;2.0
5;31;631;658;27;112;2.0
5;32;658;683;25;112;2.0
5;33;683;709;26;112;2.0
5;34;709;723;14;112;2.0
5;35;723;738;15;112;2.0
5;36;738;751;13;112;2.0
5;37;751;763;12;112;2.0
5;38;763;793;30;112;2.0
5;39;793;814;21;112;2.0
5;40;814;833;19;112;2.0
5;41;833;834;1;112;2.0
5;42;834;835;1;112;2.0
5;43;835;848;13;112;2.0
5;44;848;863;15;112;2.0
5;45;863;878;15;112;2.0
5;46;878;879;1;112;2.0
5;47;879;880;1;112;2.0
5;48;880;888;8;112;2.0
5;49;888;901;13;112;2.0
5;50;901;908;7;112;2.0
5;51;908;913;5;112;2.0
5;52;913;923;10;112;2.0
5;53;923;931;8;112;2.0
5;54;931;939;8;112;2.0
5;55;939;943;4;112;2.0
5;56;943;961;18;112;2.0
5;57;961;968;7;112;2.0
5;58;968;973;5;112;2.0
5;59;973;982;9;112;2.0
5;60;982;999;17;112;2.0
5;61;999;1003;4;112;2.0
5;62;1003;1021;18;112;2.0
5;63;1021;1028;7;112;2.0
5;64;1028;1033;5;112;2.0
5;65;1033;1059;26;112;2.0
5;66;1059;1063;4;112;2.0
5;67;1063;1088;25;112;2.0
5;68;1088;1095;7;112;2.0
5;69;1095;1102;7;112;2.0
5;70;1102;1123;21;112;2.0
5;71;1123;1143;20;112;2.0
5;72;1143;1178;35;112;2.0
5;73;1178;1218;40;112;2.0
5;74;1218;1225;7;112;2.0
5;75;1225;1263;38;112;2.0
5;76;1263;1283;20;112;2.0
5;77;1283;1319;36;112;2.0
5;78;1319;1346;27;112;2.0
5;79;1346;1383;37;112;2.0
5;80;1383;1396;13;112;2.0
5;81;1396;1411;15;112;2.0
5;82;1411;1426;15;112;2.0
5;83;1426;1441;15;112;2.0
5;84;1441;1456;15;112;2.0
5;85;1456;1471;15;112;2.0
5;86;1471;1486;15;112;2.0
5;87;1486;1501;15;112;2.0
5;88;1501;1516;15;112;2.0
5;89;1516;1531;15;112;2.0
5;90;1531;1546;15;112;2.0
5;91;1546;1561;15;112;2.0
5;92;1561;1576;15;112;2.0
5;93;1576;1591;15;112;2.0
5;94;1591;1606;15;112;2.0
5;95;1606;1621;15;112;2.0
5;96;1621;1636;15;112;2.0
5;97;1636;1651;15;112;2.0
5;98;1651;1666;15;112;2.0
5;99;1666;1680;14;112;2.0
6;0;245;331;86;112;2.0
6;1;331;334;3;112;2.0
6;2;334;349;15;112;2.0
6;3;349;354;5;112;2.0
6;4;354;360;6;112;2.0
6;5;360;367;7;112;2.0
6;6;367;370;3;112;2.0
6;7;370;386;16;112;2.0
6;8;386;389;3;112;2.0
6;9;389;390;1;112;2.0
6;10;390;404;14;112;2.0
6;11;404;420;16;112;2.0
6;12;420;421;1;112;2.0
6;13;421;424;3;112;2.0
6;14;424;430;6;112;2.0
6;15;430;449;19;112;2.0
6;16;449;450;1;112;2.0
6;17;450;453;3;112;2.0
6;18;453;462;9;112;2.0
6;19;462;464;2;112;2.0
6;20;464;479;15;112;2.0
6;21;479;485;6;112;2.0
6;22;485;494;9;112;2.0
6;23;494;503;9;112;2.0
6;24;503;516;13;112;2.0
6;25;516;550;34;112;2.0
6;26;550;588;38;112;2.0
6;27;588;589;1;112;2.0
6;28;589;618;29;112;2.0
6;29;618;630;12;112;2.0
6;30;630;631;1;112;2.0
6;31;631;658;27;112;2.0
6;32;658;683;25;112;2.0
6;33;683;709;26;112;2.0
6;34;709;723;14;112;2.0
6;35;723;738;15;112;2.0
6;36;738;751;13;112;2.0
6;37;751;763;12;112;2.0
6;38;763;793;30;112;2.0
6;39;793;814;21;112;2.0
6;40;814;833;19;112;2.0
6;41;833;834;1;112;2.0
6;42;834;835;1;112;2.0
6;43;835;848;13;112;2.0
6;44;848;863;15;112;2.0
6;45;863;878;15;112;2.0
6;46;878;879;1;112;2.0
6;47;879;880;1;112;2.0
6;48;880;888;8;112;2.0
6;49;888;901;13;112;2.0
6;50;901;908;7;112;2.0
6;51;908;913;5;112;2.0
6;52;913;923;10;112;2.0
6;53;923;931;8;112;2.0
6;54;931;939;8;112;2.0
6;55;939;943;4;112;2.0
6;56;943;961;18;112;2.0
6;57;961;968;7;112;2.0
6;58;968;973;5;112;2.0
6;59;973;982;9;112;2.0
6;60;982;999;17;112;2.0
6;61;999;1003;4;112;2.0
6;62;1003;1021;18;112;2.0
6;63;1021;1028;7;112;2.0
6;64;1028;1033;5;112;2.0
6;65;1033;1059;26;112;2.0
6;66;1059;1063;4;112;2.0
6;67;1063;1088;25;112;2.0
6;68;1088;1095;7;112;2.0
6;69;1095;1102;7;112;2.0
6;70;1102;1123;21;112;2.0
6;71;1123;1143;20;112;2.0
6;72;1143;1178;35;112;2.0
6;73;1178;1218;40;112;2.0
6;74;1218;1225;7;112;2.0
6;75;1225;1263;38;112;2.0
6;76;1263;1283;20;112;2.0
6;77;1283;1319;36;112;2.0
6;78;1319;1346;27;112;2.0
6;79;1346;1383;37;112;2.0
6;80;1383;1396;13;112;2.0
6;81;1396;1411;15;112;2.0
6;82;1411;1426;15;112;2.0
6;83;1426;1441;15;112;2.0
6;84;1441;1456;15;112;2.0
6;85;1456;1471;15;112;2.0
6;86;1471;1486;15;112;2.0
6;87;1486;1501;15;112;2.0
6;88;1501;1516;15;112;2.0
6;89;1516;1531;15;112;2.0
6;90;1531;1546;15;112;2.0
6;91;1546;1561;15;112;2.0
6;92;1561;1576;15;112;2.0
6;93;1576;1591;15;112;2.0
6;94;1591;1606;15;112;2.0
6;95;1606;1621;15;112;2.0
6;96;1621;1636;15;112;2.0
6;97;1636;1651;15;112;2.0
6;98;1651;1666;15;112;2.0
6;99;1666;1680;14;112;2.0
7;0;240;330;90;28;0.83
7;1;330;336;6;28;0.83
7;2;336;351;15;28;0.83
7;3;351;356;5;28;0.83
7;4;356;357;1;28;0.83
7;5;357;367;10;28;0.83
7;6;367;371;4;28;0.83
7;7;371;384;13;28;0.83
7;8;384;387;3;28;0.83
7;9;387;391;4;28;0.83
7;10;391;406;15;28;0.83
7;11;406;417;11;28;0.83
7;12;417;423;6;28;0.83
7;13;423;427;4;28;0.83
7;14;427;428;1;28;0.83
7;15;428;447;19;28;0.83
7;16;447;451;4;28;0.83
7;17;451;452;1;28;0.83
7;18;452;459;7;28;0.83
7;19;459;466;7;28;0.83
7;20;466;481;15;28;0.83
7;21;481;482;1;28;0.83
7;22;482;498;16;28;0.83
7;23;498;501;3;28;0.83
7;24;501;514;13;28;0.83
7;25;514;547;33;28;0.83
7;26;547;590;43;28;0.83
7;27;590;593;3;28;0.83
7;28;593;617;24;28;0.83
7;29;617;627;10;28;0.83
7;30;627;629;2;28;0.83
7;31;629;660;31;28;0.83
7;32;660;681;21;28;0.83
7;33;681;713;32;28;0.83
7;34;713;725;12;28;0.83
7;35;725;737;12;28;0.83
7;36;737;749;12;28;0.83
7;37;749;760;11;28;0.83
7;38;760;795;35;28;0.83
7;39;795;818;23;28;0.83
7;40;818;830;12;28;0.83
7;41;830;832;2;28;0.83
7;42;832;837;5;28;0.83
7;43;837;850;13;28;0.83
7;44;850;865;15;28;0.83
7;45;865;877;12;28;0.83
7;46;877;880;3;28;0.83
7;47;880;883;3;28;0.83
7;48;883;885;2;28;0.83
7;49;885;899;14;28;0.83
7;50;899;910;11;28;0.83
7;51;910;922;12;28;0.83
7;52;922;929;7;28;0.83
7;53;929;940;11;28;0.83
7;54;940;943;3;28;0.83
7;55;943;945;2;28;0.83
7;56;945;959;14;28;0.83
7;57;959;970;11;28;0.83
7;58;970;980;10;28;0.83
7;59;980;1000;20;28;0.83
7;60;1000;1003;3;28;0.83
7;61;1003;1019;16;28;0.83
7;62;1019;1030;11;28;0.83
7;63;1030;1060;30;28;0.83
7;64;1060;1063;3;28;0.83
7;65;1063;1065;2;28;0.83
7;66;1065;1087;22;28;0.83
7;67;1087;1093;6;28;0.83
7;68;1093;1100;7;28;0.83
7;69;1100;1120;20;28;0.83
7;70;1120;1147;27;28;0.83
7;71;1147;1176;29;28;0.83
7;72;1176;1217;41;28;0.83
7;73;1217;1223;6;28;0.83
7;74;1223;1267;44;28;0.83
7;75;1267;1281;14;28;0.83
7;76;1281;1321;40;28;0.83
7;77;1321;1344;23;28;0.83
7;78;1344;1387;43;28;0.83
7;79;1387;1394;7;28;0.83
7;80;1394;1409;15;28;0.83
7;81;1409;1424;15;28;0.83
7;82;1424;1439;15;28;0.83
7;83;1439;1454;15;28;0.83
7;84;1454;1469;15;28;0.83
7;85;1469;1484;15;28;0.83
7;86;1484;1499;15;28;0.83
7;87;1499;1514;15;28;0.83
7;88;1514;1529;15;28;0.83
7;89;1529;1544;15;28;0.83
7;90;1544;1559;15;28;0.83
7;91;1559;1574;15;28;0.83
7;92;1574;1589;15;28;0.83
7;93;1589;1604;15;28;0.83
7;94;1604;1619;15;28;0.83
7;95;1619;1634;15;28;0.83
7;96;1634;1649;15;28;0.83
7;97;1649;1664;15;28;0.83
7;98;1664;1679;15;28;0.83
7;99;1679;1680;1;28;0.83
8;0;240;330;90;28;0.83
8;1;330;336;6;28;0.83
8;2;336;351;15;28;0.83
8;3;351;356;5;28;0.83
8;4;356;357;1;28;0.83
8;5;357;367;10;28;0.83
8;6;367;371;4;28;0.83
8;7;371;384;13;28;0.83
8;8;384;387;3;28;0.83
8;9;387;391;4;28;0.83
8;10;391;406;15;28;0.83
8;11;406;417;11;28;0.83
8;12;417;423;6;28;0.83
8;13;423;427;4;28;0.83
8;14;427;428;1;28;0.83
8;15;428;447;19;28;0.83
8;16;447;451;4;28;0.83
8;17;451;452;1;28;0.83
8;18;452;459;7;28;0.83
8;19;459;466;7;28;0.83
8;20;466;481;15;28;0.83
8;21;481;482;1;28;0.83
8;22;482;498;16;28;0.83
8;23;498;501;3;28;0.83
8;24;501;514;13;28;0.83
8;25;514;547;33;28;0.83
8;26;547;590;43;28;0.83
8;27;590;593;3;28;0.83
8;28;593;617;24;28;0.83
8;29;617;627;10;28;0.83
8;30;627;629;2;28;0.83
